div_size,avg_time
455,24.300000
457,22.900000
459,21.700000
461,23.300000
463,21.800000
465,22.300000
467,23.500000
469,23.300000
471,23.400000
473,23.200000
475,24.600000
477,23.500000
479,25.000000
481,24.500000
483,24.400000
485,23.500000
487,24.500000
489,26.200000
491,23.700000
493,23.800000
495,24.500000
497,25.500000
499,24.800000
501,25.800000
503,24.300000
505,23.900000
507,23.400000
509,24.000000
511,24.800000
513,26.800000
515,26.200000
517,25.600000
519,26.000000
521,27.600000
523,26.200000
525,26.000000
527,26.400000
529,27.400000
531,26.700000
533,28.800000
535,26.700000
537,27.000000
539,29.000000
541,26.800000
543,27.600000
545,25.900000
547,29.000000
549,25.500000
551,27.200000
553,28.400000
555,29.400000
557,27.800000
559,27.700000
561,28.300000
563,28.200000
565,29.000000
567,28.200000
569,29.300000
571,28.700000
573,28.000000
575,28.300000
577,26.600000
579,30.700000
581,28.300000
583,30.000000
585,28.100000
587,30.500000
589,30.600000
591,28.400000
593,29.300000
595,29.800000
597,31.400000
599,31.100000
601,28.000000
603,32.300000
605,28.600000
607,28.500000
609,30.000000
611,27.300000
613,35.400000
615,30.100000
617,30.700000
619,29.900000
621,28.700000
623,31.200000
625,31.800000
627,30.700000
629,31.900000
631,32.400000
633,37.000000
635,31.600000
637,34.600000
639,30.700000
641,36.300000
643,32.800000
645,31.700000
647,35.400000
649,31.100000
651,32.200000
653,31.700000
655,32.300000
657,32.500000
659,31.100000
661,34.200000
663,32.500000
665,32.300000
667,34.400000
669,33.800000
671,31.500000
673,34.000000
675,32.500000
677,31.600000
679,34.800000
681,35.600000
683,34.600000
685,39.000000
687,34.400000
689,34.000000
691,33.600000
693,34.700000
695,34.800000
697,35.800000
699,34.200000
701,34.200000
703,35.100000
705,35.100000
707,32.900000
709,35.000000
711,34.700000
713,33.000000
715,35.800000
717,35.800000
719,34.000000
721,36.600000
723,36.300000
725,34.900000
727,38.400000
729,37.600000
731,36.300000
733,34.100000
735,34.800000
737,36.000000
739,37.700000
741,35.400000
743,36.900000
745,35.900000
747,35.900000
749,42.000000
751,36.000000
753,37.400000
755,35.900000
757,37.800000
759,39.500000
761,36.500000
763,35.300000
765,37.500000
767,37.300000
769,37.200000
771,38.000000
773,37.000000
775,38.600000
777,38.100000
779,38.100000
781,38.600000
783,39.500000
785,37.000000
787,39.100000
789,40.200000
791,40.200000
793,40.200000
795,38.000000
797,41.300000
799,39.400000
801,40.000000
803,37.700000
805,38.000000
807,40.500000
809,39.000000
811,41.300000
813,38.300000
815,38.600000
817,41.000000
819,40.900000
821,41.200000
823,39.000000
825,41.300000
827,40.300000
829,41.100000
831,41.300000
833,41.800000
835,41.100000
837,39.800000
839,40.600000
841,40.700000
843,41.200000
845,41.500000
847,41.000000
849,42.800000
851,41.800000
853,42.300000
855,41.200000
857,41.900000
859,41.600000
861,46.500000
863,42.300000
865,42.300000
867,40.600000
869,41.100000
871,41.800000
873,41.700000
875,42.100000
877,41.800000
879,41.700000
881,42.600000
883,44.600000
885,43.700000
887,42.100000
889,42.100000
891,44.100000
893,42.100000
895,44.100000
897,45.900000
899,44.700000
901,43.700000
903,42.200000
905,41.800000
907,45.400000
909,45.300000
911,43.100000
913,46.700000
915,45.900000
917,47.700000
919,47.200000
921,45.200000
923,45.900000
925,49.600000
927,48.900000
929,45.400000
931,45.600000
933,48.100000
935,46.700000
937,46.700000
939,48.000000
941,46.900000
943,48.100000
945,47.700000
947,48.400000
949,48.000000
951,47.800000
953,48.700000
955,49.100000
957,51.100000
959,48.000000
961,48.900000
963,48.700000
965,47.500000
967,48.300000
969,47.100000
971,48.100000
973,49.400000
975,49.800000
977,51.400000
979,51.400000
981,52.500000
983,48.200000
985,48.100000
987,49.400000
989,50.600000
991,49.500000
993,48.300000
995,51.700000
997,49.300000
999,49.600000
1001,52.700000
1003,48.400000
1005,48.200000
1007,48.500000
1009,52.600000
1011,51.400000
1013,51.900000
1015,51.100000
1017,52.400000
1019,51.500000
1021,52.000000
1023,52.400000
1025,52.200000
1027,52.600000
1029,53.700000
1031,52.700000
1033,52.500000
1035,54.000000
1037,53.600000
1039,55.900000
1041,50.900000
1043,53.100000
1045,50.900000
1047,51.400000
1049,49.900000
1051,50.300000
1053,51.600000
1055,49.300000
1057,52.000000
1059,49.600000
1061,51.000000
1063,49.300000
1065,53.800000
1067,51.500000
1069,52.700000
1071,52.100000
1073,50.600000
1075,51.100000
1077,52.000000
1079,52.500000
1081,55.600000
1083,52.700000
1085,51.600000
1087,51.500000
1089,51.000000
1091,52.600000
1093,51.600000
1095,52.800000
1097,51.300000
1099,54.000000
1101,54.500000
1103,53.700000
1105,52.300000
1107,53.400000
1109,54.800000
1111,53.500000
1113,54.300000
1115,53.200000
1117,53.200000
1119,53.800000
1121,55.700000
1123,53.900000
1125,54.500000
1127,53.600000
1129,52.900000
1131,55.300000
1133,56.100000
1135,57.100000
1137,55.700000
1139,56.100000
1141,54.400000
1143,57.000000
1145,55.900000
1147,56.600000
1149,55.400000
1151,54.400000
1153,57.500000
1155,56.000000
1157,54.800000
1159,55.600000
1161,55.800000
1163,58.000000
1165,57.100000
1167,55.100000
1169,56.400000
1171,55.600000
1173,58.200000
1175,54.600000
1177,55.900000
1179,58.000000
1181,56.300000
1183,58.800000
1185,56.100000
1187,58.000000
1189,59.000000
1191,57.100000
1193,58.100000
1195,57.400000
1197,57.100000
1199,57.200000
1201,56.600000
1203,57.500000
1205,58.100000
1207,60.100000
1209,59.100000
1211,58.100000
1213,57.900000
1215,57.300000
1217,57.000000
1219,58.900000
1221,59.000000
1223,60.100000
1225,59.100000
1227,58.700000
1229,59.100000
1231,57.100000
1233,59.000000
1235,58.400000
1237,60.800000
1239,61.300000
1241,61.600000
1243,60.600000
1245,57.700000
1247,60.100000
1249,59.600000
1251,60.000000
1253,58.800000
1255,60.000000
1257,63.600000
1259,61.200000
1261,61.200000
1263,63.200000
1265,62.800000
1267,61.500000
1269,61.000000
1271,60.800000
1273,62.600000
1275,62.600000
1277,59.900000
1279,62.200000
1281,61.400000
1283,64.400000
1285,62.900000
1287,61.500000
1289,61.000000
1291,62.200000
1293,63.400000
1295,64.300000
1297,61.500000
1299,65.000000
1301,61.700000
1303,64.700000
1305,62.100000
1307,64.200000
1309,63.200000
1311,64.300000
1313,71.600000
1315,63.600000
1317,63.700000
1319,63.400000
1321,64.800000
1323,63.000000
1325,61.900000
1327,64.200000
1329,65.700000
1331,64.500000
1333,63.800000
1335,64.000000
1337,65.100000
1339,63.500000
1341,64.900000
1343,67.000000
1345,64.600000
1347,65.000000
1349,62.000000
1351,69.700000
1353,68.200000
1355,65.100000
1357,64.000000
1359,64.400000
1361,67.300000
1363,64.100000
1365,63.800000
1367,66.500000
1369,66.300000
1371,66.700000
1373,64.700000
1375,71.600000
1377,67.100000
1379,64.700000
1381,65.200000
1383,65.100000
1385,65.000000
1387,67.100000
1389,67.300000
1391,68.600000
1393,66.000000
1395,67.100000
1397,68.900000
1399,65.300000
1401,68.100000
1403,67.800000
1405,66.400000
1407,65.900000
1409,66.600000
1411,68.000000
1413,69.000000
