arr_size,avg_partition_size
14100,6911.200195
14200,6851.299805
14300,6941.500000
14400,7078.700195
14500,7102.899902
14600,7239.700195
14700,7230.700195
14800,7264.200195
14900,7369.799805
15000,7339.299805
15100,7447.200195
15200,7523.899902
15300,7518.899902
15400,7466.200195
15500,7550.200195
15600,7622.200195
15700,7678.100098
15800,7713.799805
15900,7844.399902
16000,7798.100098
16100,7833.700195
16200,7982.500000
16300,7898.200195
16400,7952.200195
16500,8035.299805
16600,8203.500000
16700,8014.500000
16800,8215.700195
16900,8353.900391
17000,8311.099609
17100,8406.299805
17200,8259.599609
17300,8418.700195
17400,8586.900391
17500,8614.500000
17600,8752.299805
17700,8787.099609
17800,8784.000000
17900,8733.400391
18000,9000.599609
18100,8833.200195
18200,9029.299805
18300,9062.099609
18400,8984.200195
18500,9167.000000
18600,9168.099609
18700,9222.700195
18800,9216.500000
18900,9259.400391
19000,9402.299805
19100,9446.400391
19200,9394.200195
19300,9562.700195
19400,9550.099609
19500,9536.500000
19600,9569.000000
19700,6232.500000
19800,8173.200195
19900,9712.500000
20000,8969.299805
20100,9045.799805
20200,9310.299805
20300,9312.200195
20400,9608.599609
20500,8016.799805
20600,9301.700195
20700,5883.200195
20800,8510.299805
20900,9853.599609
21000,9843.700195
21100,9930.799805
21200,10325.000000
21300,10179.599609
21400,9930.599609
21500,10251.200195
21600,10509.500000
21700,10531.299805
21800,10535.799805
21900,7321.500000
22000,8722.500000
22100,10252.200195
22200,6872.700195
22300,10264.299805
22400,10186.700195
22500,10903.299805
22600,8347.400391
22700,9534.299805
22800,9998.599609
22900,9780.500000
23000,8853.500000
23100,10301.200195
23200,10658.900391
23300,10971.400391
23400,11215.200195
23500,10947.900391
23600,11235.500000
23700,11129.400391
23800,11327.299805
23900,11456.500000
24000,11448.400391
24100,11562.000000
24200,11557.200195
24300,11836.700195
24400,11858.900391
24500,11902.200195
24600,12022.000000
24700,12082.700195
24800,11626.000000
24900,12083.299805
25000,12165.200195
25100,12102.099609
25200,12074.500000
25300,12301.900391
25400,12090.799805
25500,12467.500000
25600,12361.099609
25700,12547.400391
25800,12509.500000
25900,12490.700195
26000,12746.400391
26100,12632.799805
26200,12667.599609
26300,11423.000000
26400,11951.400391
26500,6322.799805
26600,5168.500000
26700,12009.400391
26800,12731.900391
26900,12884.700195
27000,11082.200195
27100,11251.299805
27200,12188.400391
27300,10998.900391
27400,12227.700195
27500,12577.099609
27600,12571.200195
27700,12949.799805
27800,13343.099609
27900,13366.500000
28000,13611.000000
28100,13053.900391
28200,13342.700195
28300,13420.200195
28400,13598.799805
28500,12308.900391
28600,13410.000000
28700,11930.599609
28800,10736.099609
28900,12936.200195
29000,12737.200195
29100,13518.599609
29200,6505.200195
29300,10868.000000
29400,13886.400391
29500,9858.500000
29600,13274.700195
29700,13664.400391
29800,13760.200195
29900,14071.099609
30000,14296.700195
30100,14198.299805
30200,14065.900391
30300,13831.200195
30400,14576.400391
30500,14305.900391
30600,14360.299805
30700,14698.500000
30800,14573.000000
30900,14750.299805
31000,14807.099609
31100,14862.500000
31200,15050.599609
31300,15157.400391
31400,15217.099609
31500,15262.400391
31600,15028.900391
31700,15323.299805
31800,15230.799805
31900,15396.700195
32000,15413.599609
32100,15440.599609
32200,15428.700195
32300,15670.599609
32400,15555.599609
32500,15827.900391
32600,15705.099609
32700,15829.099609
32800,15738.400391
32900,15977.599609
33000,16034.400391
33100,15904.400391
33200,16032.900391
33300,16162.500000
33400,16319.799805
33500,16384.199219
33600,16262.400391
33700,16312.799805
33800,16511.099609
33900,16295.099609
34000,16616.599609
34100,16495.599609
34200,16556.300781
34300,16640.900391
34400,16706.599609
34500,16722.099609
34600,16855.400391
34700,16957.900391
34800,17088.400391
34900,17085.500000
35000,16762.900391
